iter	Passed	Remaining
0	61	9210
1	65	4811
2	68	3359
3	73	2664
4	76	2228
5	79	1919
6	83	1696
7	87	1554
8	91	1439
9	95	1331
10	98	1242
11	101	1166
12	105	1111
13	108	1054
14	111	1001
15	113	954
16	116	913
17	121	889
18	125	862
19	128	833
20	131	806
21	135	788
22	140	773
23	143	751
24	146	731
25	150	716
26	154	705
27	158	689
28	161	673
29	164	659
30	168	647
31	171	634
32	174	619
33	177	607
34	181	595
35	184	584
36	188	574
37	191	564
38	194	554
39	198	546
40	202	537
41	205	527
42	208	518
43	212	512
44	216	505
45	219	497
46	223	489
47	227	483
48	230	474
49	234	468
50	237	461
51	240	453
52	244	447
53	248	442
54	252	435
55	255	428
56	258	422
57	262	416
58	266	410
59	269	404
60	272	397
61	275	391
62	279	386
63	283	380
64	286	374
65	290	369
66	293	363
67	296	357
68	298	350
69	302	345
70	306	341
71	310	335
72	313	330
73	316	324
74	320	320
75	324	316
76	328	311
77	331	305
78	336	302
79	340	297
80	343	292
81	346	286
82	349	282
83	353	278
84	357	273
85	360	268
86	363	263
87	367	259
88	372	255
89	375	250
90	378	245
91	382	241
92	386	236
93	389	232
94	392	227
95	395	222
96	399	218
97	403	214
98	406	209
99	409	204
100	412	200
101	416	196
102	419	191
103	422	186
104	425	182
105	428	177
106	432	173
107	435	169
108	439	165
109	442	160
110	446	156
111	449	152
112	453	148
113	456	144
114	459	139
115	464	136
116	467	131
117	470	127
118	473	123
119	477	119
120	480	115
121	483	111
122	486	106
123	489	102
124	493	98
125	497	94
126	500	90
127	503	86
128	506	82
129	510	78
130	514	74
131	517	70
132	520	66
133	523	62
134	527	58
135	530	54
136	533	50
137	536	46
138	540	42
139	543	38
140	546	34
141	549	30
142	551	27
143	555	23
144	559	19
145	562	15
146	565	11
147	568	7
148	573	3
149	576	0
